"kmax","distance","kernel","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,1.5,"rectangular",0.585517905626019,0.750546699268913,0.426610499561669,0.00689679999737089,0.00386772515403572,0.0043310503330061
1,1.5,"triangular",0.585517905626019,0.750546699268913,0.426610499561669,0.00689679999737089,0.00386772515403572,0.0043310503330061
1,2,"rectangular",0.587197242848511,0.749132118215057,0.427790466173584,0.00689882736291562,0.00441445671004709,0.00455905864627159
1,2,"triangular",0.587197242848511,0.749132118215057,0.427790466173584,0.00689882736291562,0.00441445671004709,0.00455905864627159
2,1.5,"rectangular",0.514110660415947,0.799196825477109,0.378954945303819,0.00508227139906949,0.00336484369190321,0.00331026778875324
2,1.5,"triangular",0.534862977572689,0.78512980500927,0.390767413509952,0.00587225455083138,0.0041619309004385,0.00363916632823322
2,2,"rectangular",0.51528826391564,0.798250851475029,0.379796863122603,0.00413466514223487,0.00313751703657242,0.00288085295177932
2,2,"triangular",0.537482604875611,0.783179229817816,0.392788865249607,0.00549760234273296,0.00408075814910175,0.00350486915209071
3,1.5,"rectangular",0.488160809329268,0.816863982043719,0.361546095496412,0.0040875227345342,0.00336446617778191,0.00278968407349431
3,1.5,"triangular",0.508795682625647,0.803001505413145,0.372781088340229,0.00528199299941422,0.00370930948687971,0.00299318774140842
3,2,"rectangular",0.4889132502061,0.816369914265701,0.361929815947249,0.00542391174098557,0.00424739217255131,0.00324806137076902
3,2,"triangular",0.510887021950565,0.801513677564706,0.374442907105513,0.00559919645816367,0.003958927279149,0.00302097464165622
4,1.5,"rectangular",0.475392287955861,0.825610723566623,0.352222149404962,0.00339061650761165,0.0033660743525273,0.0023366394465072
4,1.5,"triangular",0.492801227478498,0.813923555010513,0.361745844523822,0.00553246127019428,0.00388633534044969,0.00334271902797061
4,2,"rectangular",0.476952213492482,0.824530858833263,0.353429798122675,0.00373467415278458,0.00343051572924141,0.00265538980650636
4,2,"triangular",0.494566771244547,0.812643863391425,0.363210155178303,0.00675235461112795,0.00451949759539912,0.00376193408397828
5,1.5,"rectangular",0.469397506472017,0.829693381632939,0.348038426571896,0.00400088003975037,0.00340205237119725,0.00261776992356067
5,1.5,"triangular",0.482212741285313,0.821119935658773,0.354613565506368,0.00582830302302014,0.00416457131404284,0.00332237055301198
5,2,"rectangular",0.470630784334482,0.828827614318592,0.349303049656834,0.00343064267695399,0.0031475859426939,0.00215015244348236
5,2,"triangular",0.483730385857454,0.820035336924244,0.356050845000603,0.00627675252950565,0.00436336272051014,0.00354333876449436
6,1.5,"rectangular",0.464345645620455,0.833227514654076,0.34469608620614,0.00453534475826201,0.0036859127087059,0.00277837569322448
6,1.5,"triangular",0.474331789701229,0.826523965240983,0.349434826856527,0.00547437584693953,0.00398246515900274,0.0028821359482356
6,2,"rectangular",0.465742446236087,0.832214738925498,0.346182949597942,0.00374614492761502,0.00339715427763835,0.00249189756049961
6,2,"triangular",0.476085481853885,0.825254781120098,0.351064106938573,0.00587206979018319,0.00418398809007069,0.00313751315715824
7,1.5,"rectangular",0.461946688204333,0.834899285624915,0.343172592153468,0.00472444787753239,0.00376121538960864,0.00276515329513029
7,1.5,"triangular",0.468414124264739,0.830531601929006,0.345592107711317,0.00504253444097583,0.0037072589725408,0.00254339642796322
7,2,"rectangular",0.462541901857545,0.834448788779791,0.343647562900343,0.00427975612683703,0.00388865771249841,0.00269496207975297
7,2,"triangular",0.470053107597257,0.82935812520893,0.347066434145087,0.00519685861463426,0.00385317453967148,0.0026983160601453
8,1.5,"rectangular",0.459388863086938,0.836715331619113,0.342010909378044,0.00427066657443086,0.00379821867577437,0.00241906364936658
8,1.5,"triangular",0.464428598928512,0.833253084542615,0.343159631990906,0.00466996033449026,0.00358871614203357,0.00251783173331474
8,2,"rectangular",0.46124008266014,0.835380100976604,0.343091690521884,0.00437779754740401,0.00409724287860594,0.00257509947628051
8,2,"triangular",0.466099240292998,0.832062138802827,0.344558122839739,0.00490603908725849,0.00380497570961992,0.00265300762575808
9,1.5,"rectangular",0.458626012208873,0.837305369915445,0.341671268200562,0.00458901761836107,0.00386107927521178,0.0024143386114208
9,1.5,"triangular",0.461303043266253,0.835411650620836,0.341143449380345,0.00450780237621792,0.00346762577637683,0.00248968469235427
9,2,"rectangular",0.459851326096159,0.836412755397338,0.342494740438083,0.00441137759839425,0.00415279021027974,0.00254188396899481
9,2,"triangular",0.463169433835965,0.834078552140157,0.342616984231582,0.00462086165408258,0.00367491546532538,0.00264799994934467
10,1.5,"rectangular",0.458161681083371,0.837679120314629,0.341391798580366,0.00502014944094323,0.0042659501823726,0.00278536176060962
10,1.5,"triangular",0.458902173365283,0.837052890648942,0.33955325151435,0.00459121467376396,0.0036434861340601,0.00257822130838406
10,2,"rectangular",0.459029483260459,0.837025678223794,0.342109792466329,0.00434065599813368,0.00402029600009268,0.00284495332563377
10,2,"triangular",0.460662872299243,0.835795904101973,0.340992957620367,0.00468694803311176,0.00375698029443381,0.00271015358118171
