"mtry","ntree","nodesize","MAE"
4,100,10,0.2951472
5,100,10,0.2960846
6,100,10,0.2988823
4,300,10,0.2944602
5,300,10,0.2934694
6,300,10,0.3003797
4,500,10,0.2916448
5,500,10,0.2970389
6,500,10,0.2963759
4,100,15,0.2958965
5,100,15,0.2967397
6,100,15,0.298172
4,300,15,0.2931864
5,300,15,0.2970598
6,300,15,0.2968894
4,500,15,0.2954139
5,500,15,0.2956063
6,500,15,0.2958774
4,100,20,0.2954753
5,100,20,0.296353
6,100,20,0.2977324
4,300,20,0.2939395
5,300,20,0.297063
6,300,20,0.296903
4,500,20,0.2934979
5,500,20,0.2954256
6,500,20,0.2936697
